תוצאה/ קלט,א,ב,ג,ד,ה,ו,ז,ח,ט,י,כ,ל,מ,נ,ס,ע,פ,צ,ק,ר,ש,ת,ך2,ם2,ן2,ף2,ץ2
א,0.996,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.002,0,0.001,0,0,0
ב,0.001,0.911,0,0.003,0.011,0,0,0,0.009,0,0.005,0,0,0,0,0,0.003,0,0.008,0.001,0.002,0,0.039,0.008,0,0,0
ג,0.001,0,0.843,0.003,0,0,0.119,0,0.002,0,0.001,0,0,0.007,0,0.003,0,0.009,0,0.001,0.001,0,0.001,0.002,0,0.002,0.006
ד,0.001,0.007,0.001,0.947,0.002,0,0.001,0,0,0,0,0.001,0,0,0,0,0.001,0.022,0.005,0,0,0,0.008,0.005,0,0,0
ה,0,0.004,0,0.001,0.989,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0.002,0,0,0.001,0,0.001,0,0,0
ו,0.001,0,0,0.001,0,0.734,0,0,0,0.014,0,0,0,0.001,0,0.001,0,0,0,0.001,0,0,0.002,0,0.245,0,0
ז,0,0,0.212,0,0,0,0.768,0,0,0.002,0.008,0,0.001,0.004,0,0,0,0.006,0,0,0,0,0,0,0,0,0
ח,0.001,0.001,0,0,0.01,0,0,0.962,0,0,0,0,0.005,0,0.001,0,0,0,0,0.003,0,0.014,0,0.004,0,0,0
ט,0.002,0,0.002,0,0.002,0,0,0,0.915,0,0.023,0,0,0.016,0.006,0,0.033,0,0,0.001,0,0,0,0,0.001,0,0
י,0.001,0,0.003,0.001,0.004,0.053,0.002,0,0,0.921,0.002,0.001,0,0.005,0,0.001,0,0.002,0,0.002,0.002,0.001,0,0,0,0,0
כ,0,0.016,0.004,0,0,0,0.004,0,0.025,0.001,0.889,0,0,0.019,0.003,0.001,0.005,0.008,0.001,0.008,0.008,0.004,0.005,0,0,0,0
ל,0.001,0.001,0.006,0.01,0.008,0.002,0.004,0,0.062,0.002,0.001,0.79,0.001,0.005,0,0.003,0.005,0.003,0,0.039,0,0.004,0.017,0.001,0.009,0.023,0.005
מ,0.025,0.001,0,0.004,0.001,0,0.001,0.001,0.001,0.001,0,0.002,0.939,0.002,0,0.001,0,0,0,0.002,0.004,0.004,0.003,0.003,0,0,0.005
נ,0.001,0,0.016,0.001,0,0.003,0.005,0,0.002,0.003,0.004,0.006,0.003,0.937,0,0,0,0.001,0,0,0.001,0.001,0,0,0.017,0,0
ס,0,0.004,0,0,0,0,0,0.002,0.025,0,0.003,0.001,0,0,0.88,0,0.027,0.001,0,0,0.037,0,0,0.019,0,0,0
ע,0.015,0,0.015,0.008,0.005,0.001,0.001,0.002,0.015,0.005,0.001,0.028,0,0.001,0.003,0.836,0.004,0.001,0,0.004,0.003,0.001,0,0,0.005,0.027,0.02
פ,0.001,0.018,0.001,0.011,0.008,0,0.001,0,0.034,0.001,0.014,0.003,0,0,0.02,0,0.849,0.009,0,0,0.018,0,0,0.005,0,0.008,0.001
צ,0,0.001,0.008,0.017,0,0,0.007,0,0.001,0,0.003,0,0,0.001,0.001,0.001,0,0.93,0,0,0.01,0.004,0.004,0,0,0.01,0.003
ק,0,0.01,0,0.009,0.005,0.001,0,0.004,0,0.001,0,0.001,0,0,0,0,0,0,0.81,0.001,0,0.005,0.127,0.02,0,0.004,0.003
ר,0,0.029,0,0.013,0.011,0.008,0,0.008,0,0.006,0.03,0.004,0.001,0.003,0,0.003,0,0.003,0.016,0.764,0,0.007,0.082,0.01,0.003,0,0
ש,0.008,0.004,0.01,0.001,0,0,0.001,0,0.014,0.001,0.007,0,0.002,0.005,0.007,0.001,0.015,0.017,0,0,0.89,0.002,0,0.004,0,0.012,0.001
ת,0.011,0,0,0,0.002,0,0,0.005,0,0.001,0,0,0.004,0.001,0,0,0,0,0.001,0.005,0.004,0.957,0.002,0.008,0,0,0
ך,0,0.013,0.01,0.008,0,0.002,0.002,0.001,0,0.001,0,0,0,0.001,0,0,0,0.002,0.032,0.016,0,0.003,0.868,0.034,0.001,0.004,0.003
ם,0,0.002,0,0.008,0.001,0,0,0,0,0.002,0.001,0,0,0,0.002,0,0.002,0,0,0.01,0.002,0.006,0.003,0.958,0,0.001,0.003
ן,0,0,0.002,0.003,0.006,0.133,0,0,0.007,0,0.001,0.009,0,0.003,0,0,0,0,0.003,0.007,0,0,0.027,0,0.797,0.002,0
ף,0.004,0.001,0.007,0.008,0.003,0,0,0,0.003,0,0,0.003,0.002,0,0,0.01,0,0,0.001,0.002,0.002,0.002,0.004,0.009,0,0.828,0.112
ץ,0,0.001,0.004,0.003,0.001,0,0,0,0,0,0,0.002,0.002,0,0,0.007,0,0.001,0,0,0.001,0,0.002,0.02,0,0.109,0.848
