pic number,num of words,sumpixels,contours
1,2,2,2
2,18,17,18
3,5,2,4
4,5,5,5
5,8,8,8
6,8,7,8
7,8,8,7
8,7,7,7
9,21,21,21
10,10,9,9
11,1,0,1
12,9,9,9
13,1,0,0
14,9,8,8
15,3,3,3
16,8,8,8
17,18,18,18
18,10,10,9
19,2,2,1
20,15,15,15
21,10,6,3
22,2,1,2
23,10,10,10
24,1,1,0
25,18,18,16
26,1,1,0
27,5,5,5
28,5,5,4
29,11,10,9
30,9,8,9
31,25,25,23
32,10,10,10
33,7,7,7
34,9,9,8
35,14,13,14
36,12,12,12
37,10,10,10
38,10,9,10
39,1,0,1
40,8,7,7
41,6,6,5
42,12,12,10
43,8,8,8
44,1,1,1
45,10,9,9
46,10,10,10
47,1,0,0
48,2,2,2
49,18,18,18
50,6,6,6
51,4,3,2
52,2,1,1
53,11,11,11
54,7,6,7
55,7,5,4
56,9,7,9
57,8,6,6
58,6,5,4
59,7,7,7
60,17,17,17
61,10,9,10
62,4,2,4
63,12,12,12
64,12,12,11
65,13,13,13
66,3,3,3
67,11,11,11
68,7,7,7
69,7,7,6
70,6,4,4
71,10,5,1
72,7,7,5
73,10,10,10
74,9,8,6
75,10,10,10
76,12,12,12
77,11,11,11
78,9,9,9
79,8,8,8
80,13,13,12
81,9,8,1
82,11,11,11
83,10,7,9
84,14,14,12
85,10,8,9
86,12,9,9
87,18,16,17
88,10,9,9
89,8,5,8
90,7,6,6
91,11,9,9
92,9,6,8
93,7,7,7
94,1,0,1
95,9,4,9
96,3,3,3
97,9,9,9
98,9,6,9
99,9,9,7
100,8,8,7
101,6,5,6
102,5,3,4
103,6,5,3
104,4,1,3
105,5,5,5
106,7,2,2
107,5,5,5
108,4,4,4
109,3,3,3
110,6,6,6
111,6,6,5
112,7,7,7
113,8,7,8
114,9,9,9
115,9,9,9
116,2,2,2
117,4,3,4
118,4,3,4
119,4,4,4
120,3,3,3
121,16,16,16
122,16,16,16
123,14,14,14
124,4,2,4
125,5,2,5
126,4,4,4
127,4,2,4
128,4,3,4
129,3,3,3
130,4,3,4
